merchant_name,mcc,address,geo_coordinates,org_name,org_description,website,source_url
SP_MECHTA BYUTI,7297,"г Москва, ул Братиславская, д 16 к 1",,The Массаж,"The Массаж Москва 4 мин. м. Братиславская Место вашего отдыха, заботы о себе и о своем прекрасном теле",https://themassagemsk.ru/,https://merchantpoint.ru/brand/4380
"REDKASSA,REDKASSA.RU,REDKASSARU,Y.M*REDKASSA,YM*RedKassa",7922,Онлайн,,RedKassa,"RedKassa — билетный оператор. Концерты различных жанров и музыкальные фестивали, классические и современные постановки в популярных театрах, юмористические, цирковые, детские, ледовые и спортивные шоу — все в одном месте.",https://redkassa.ru/,https://merchantpoint.ru/brand/4381
GAUZ SP 2 DMZ,8021,"г Москва, ул Удальцова, д 8",,Стоматология ГАУЗ СП №2,"Стоматологическая Поликлиника № 2 Департамента Здравоохранения города Москвы ГАУЗ СП №2 Москва, ул. Удальцова, 8",https://www.sp2dzm.ru/,https://merchantpoint.ru/brand/4382
SP_CVETY.,5193,"Московская область, городской округ Красногорск, Новорижское шоссе, 23-й километр, 2",,Mayflor,"Mayflor - прямой поставщик и транспортер срезанных цветов, горшечных растений, растений открытого грунта и сопутствующих товаров в Россию.",https://www.mayflor.ru/,https://merchantpoint.ru/brand/4383
NMPRU,5200,Онлайн,,Нева Металл Посуда,"Посуда высшего качества, доступная каждой семье. Уникальное сочетание инноваций и традиций.",https://nmp.ru/,https://merchantpoint.ru/brand/4384
PICKART,8299,Онлайн,,PickArt,"Арт-квесты в музеяхОбразовательный проект для детей от 4 до 14 лет, предоставляющий занятия в области искусства и творчества",https://pickartparty.ru,https://merchantpoint.ru/brand/4355
OOO PRODTORG,5411,,,Супермаркет Продторг,,,https://merchantpoint.ru/brand/4356
PROSPUTNIK,5411,,,Универсам Спутник,Сеть Спутник - это широкий ассортимент отличных продуктов напитков и бытовой химии Саратова и Саратовской области,https://www.sputnik64.ru/,https://merchantpoint.ru/brand/4357
"MANANA COFFEE,MANANA COFFEE 11,MANANA COFFEE 12,MANANA COFFEE 15","5812,5814",,,Manana coffee,Manana coffee,,https://merchantpoint.ru/brand/4358
TORGOVAYA PLOSHHAD,5411,,,Торговая площадь,"Компания «Торговая площадь» — один из лидеров рынка колбас и мясных деликатесов Сибирского региона. Помимо мясоперерабатывающего предприятия компания развивает также сеть собственных магазинов, которая насчитывает сегодня более ста торговых точек.",https://xn--80aaedi4brbdigw4hybzb.xn--p1ai/,https://merchantpoint.ru/brand/4359
VOSTOCHNYE SLADOSTI,5499,,,Восточные сладости,VOSTOCHNYE SLADOSTI,,https://merchantpoint.ru/brand/4360
OOO BABAEVOPRODTORG,5411,,,Бабаево,,,https://merchantpoint.ru/brand/4361
LAKOMKA,"5411,5499",,,Магазин Лакомка,,,https://merchantpoint.ru/brand/4362
"ZOOMIR,ZOOMIR 4,ZOOMIR SERVICE,Zoomir","0742,5331,5995",,,Зоомир,Товары для животных в Москве – интернет-магазин,https://zoomir-vsem.ru/,https://merchantpoint.ru/brand/4363
"RK*GorodcvetovBryansk,Robokassa*GorodcvetovB,Y.M*GORODCVETOV24,Y.M*GORODCVETOV73,YM *gorodcvetov",5992,"г Ульяновск, Ульяновский пр-кт, д 19",,Город  Цветов,"Город Цветов, Ульяновск, первый цветочный с 2010 г.",https://gorodcvetov73.ru/,https://merchantpoint.ru/brand/4364
PROSPEKT GASTRONOM,5499,"г Москва, Ленинский пр-кт, д 20",,Гастроном Проспект,"Москва, Ленинский пр-т., 20",,https://merchantpoint.ru/brand/4365
MNPTSDK DZM,8011,"г Москва, Ленинский пр-кт, д 17",,"ГБУЗ ""МНПЦДК ДЗМ""","ГБУЗ ""МНПЦДК ДЗМ"" Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии Департамента здравоохранения города Москвы»",https://mosderm.ru/,https://merchantpoint.ru/brand/4366
,,,,Зоомирово,"ZOOмирово сеть магазинов, товары для животных, дачи и активного отдыха.",https://zoomirovo.com/,https://merchantpoint.ru/brand/4367
HERE'N'NOW,5814,,,Кофейня Here'n'now,"Кофейня Here'n'now — это уютное место с красивым интерьером, удобными диванчиками и креслами, а также вкуснейшим кофе.",https://yandex.ru/maps/org/here_n_now/136087334308/?ll=37.605562%2C55.753615&z=16,https://merchantpoint.ru/brand/4368
KULINAR,5812,,,Магазин Кулинар,Магазин Кулинар,,https://merchantpoint.ru/brand/4369
SEVERNAYA VENECIYA.,7996,"г Санкт-Петербург, ул Наличная, д 59",,Парк Северная Венеция,Парк в Санкт-Петербурге,,https://merchantpoint.ru/brand/4340
"RUSSKIE TRADICII,RUSSKIE TRADITSII",5814,,,Русские Традиции,"Русские Традиции» — уютные кафе-столовые и банкетные залы во всех районах г. Санкт-Петербург. Приятная атмосфера, демократичные цены и вкусная домашняя еда — все в лучших традициях гостеприимства!",https://www.obed-online.ru/,https://merchantpoint.ru/brand/4341
TOCHKA PITANIYA,5814,,,Точка питания,"Фуд-кор, где Готовят быстро, вкусно и разнообразно.",https://tochka-pitaniya.clients.site/,https://merchantpoint.ru/brand/4342
TOBOLSKIJ KHLEB,5814,,,Тобольский хлеб,"Сеть пекарен ""Тобольский хлеб"" с любовью к вашему столу предлагает огромный выбор хлебобулочных и кондитерских изделий.",https://vk.com/tobhleb72?w=club204367994&ysclid=m4cvym66wr438962052,https://merchantpoint.ru/brand/4343
"FARMIDA,OOO FARMIDA,OOO FARMIDA.",5912,,,Аптека Фармида,"Курортный просп., 59, Сочи",https://yandex.ru/maps/org/farmida/33152988888/?ll=39.729838%2C43.575671&z=15,https://merchantpoint.ru/brand/4344
"SP KAFE MUKA,SP KAFE MUKA.",5814,,,Мука,"Сочи, Курортный проспект",https://yandex.ru/maps/org/muka/109832750960?si=e2ex69x042dnh21xu11rgv3zk8,https://merchantpoint.ru/brand/4345
"RESTORAN TOTTORI,Restoran TOTTORI,TOTTORI,TOTTORI.","5812,5814","г Москва, Большой Черкасский пер, д 13 стр 4",,Ресторан Тоттори,"Ресторан тоттори -настоящая японская кухня в Москве Аутентичная атмосфера и традиционные блюда Увлеченность культурой страны восходящего солнца с каждым годом только увеличивается, не удивительно, что рестораны с интерьером в японском стиле пользуются особым успехом. Заведению подобной тематики свойственна простота и четкость линий, иногда этот стиль путают с другими восточными направлениями, например китайским. Главным его отличием от них является использование исключительно сдержанных тонов в отделке, никаких ярких оттенков быть не должно, ведь задача интерьера - способствовать умиротворению. Освещение неяркое, в оформлении можно проследить растительные узоры, особой популярностью пользуется цветущая веточка сакуры",https://tottori.ru/,https://merchantpoint.ru/brand/4346
,,,,Ресторан MiMi,Сеть грузинских ресторанов,https://restoran-mimi.ru/restorany/marino/,https://merchantpoint.ru/brand/4347
"FIRMENNYJ MAG. 540,YM*K.POLYANA,YM*k.polyana","4722,5947","Краснодарский край, г Сочи, село Эстосадок, ул Горная карусель, д 9,Онлайн",,Курорт Красная поляна,"Курорт Красная поляна, всесезонный горный курорт развлечений! ☀️Летом: 60 км экотроп, веревочный парк, высокогорные качели, зиплайн и троллей, скейт-парк...",https://krasnayapolyanaresort.ru/,https://merchantpoint.ru/brand/4348
,,,,Ресторан Династия,"Ресторан «Династия», расположенный в самом сердце Красной Поляны, с 2015 года предлагает гостям курорта безупречную комбинацию из коллекции редких вин и авторской кухни, вобравшей в себя рецепты со всего света. Базовые ценности проекта – бережное развитие энокультуры и искусства сочетания блюд и вина, высочайшее качество продуктов и сервиса, уважение к великолепной природе и самобытным традициям региона.",https://dinastiya.rest/,https://merchantpoint.ru/brand/4349
RESTORAN VERSHINA,5812,"Краснодарский край, г Сочи, пгт Красная Поляна",,Ресторан Вершина 2200,"Ресторан «Вершина 2200» находится на высоте 2200 метров в Красной Поляне. Из панорамных окон открывается чудесный вид на горы. Краснодарский край, городской округ Сочи, Горнолыжный курорт Красная Поляна, кресельный подъёмник Аибга 3-я канатная очередь, пик вершины 2200",https://yandex.ru/maps/org/vershina_2200/152739887846/?ll=40.251552%2C43.647050&z=14,https://merchantpoint.ru/brand/4350
"LERUA MERLEN KRASN-K,LERUA MERLEN NOVOKUZ-TSK,LERUA MERLEN TVER,LERUA MERLEN VLADIVOSTOK,LM138,MA0000072613,MA0001737942,MA0001946032,MA0003157557,MA0003205289,MA0003233049,MB0000151972","5200,5499,5814",,,Лемана Про,"«Лемана Про» (бывший «Леруа Мерлен») — ритейлер, который специализируется на продаже товаров для строительства, отделки и обустройства жилых и садовых пространств. Это ведущая компания на российском рынке DIY. Первый магазин был открыт в 2004 году в Мытищах, Московская область. В настоящее время сеть насчитывает 112 магазинов, 11 дарксторов и 6 распределительных центров. Гипермаркеты предлагают широкий выбор товаров и услуг для ремонта и обустройства как дома, так и дачи. В июне 2024 года стало известно о планах ритейлера «Леруа Мерлен» провести ребрендинг и продолжить свою деятельность в России под новым названием «Лемана Про». Процесс обновления будет осуществляться поэтапно: первые обновленные магазины откроются до конца 2024 года, а полный переход завершится в 2025 году. Основные характеристики: Товары для строительства и ремонта Материалы для отделки и декора Садовая техника и растения Инструменты и оборудование Сантехника и электротовары Мебель и предметы интерьера Преимущества для клиентов: Огромный ассортимент – всё для ремонта и дома в одном месте Доступные цены – регулярные акции и специальные предложения Профессиональные консультации – помощь специалистов по всем товарам Услуги для клиентов – доставка, аренда инструментов, раскрой материалов Программа лояльности – накопительные бонусы и скидки Собственные торговые марки – качественные товары по выгодным ценам Онлайн-заказ – возможность заказать товары через сайт или приложение",https://lemanapro.ru,https://merchantpoint.ru/brand/4351
MTS Fog Play,5816,,,МТС Fog Play,"С помощью платформы туманного гейминга МТС Fog Play (облачный гейминг от МТС) ты сможешь играть в самые популярные новинки на слабом ПК прямо в браузере, оплачивая только стоимость игрового часа.",https://fogplay.mts.ru/,https://merchantpoint.ru/brand/4352
"YARMARKA 23,YARMARKA 31,YARMARKA 37,YARMARKA 38,YARMARKA 45",5411,,,Супермаркет Ярмарка,"Супермаркет ""Ярмарка"", 39 магазина по РБ Собственное производство вкуснейшей продукции",http://уфа-ярмарка.рф/,https://merchantpoint.ru/brand/4353
"OOO YU MARKETING,SCIENCELY",8299,Онлайн,,Sciencely,"Sciencely — детский научно-популярный проект. Мы ценим интеллигентность, небанальность и научный подход. Влюбляем детей в химию, биологию и медицину, учим смотреть на мир комплексно через оптику естественных наук, видеть взаимосвязи во всем, что нас окружает, и думать с опорой на критическое мышление.",https://sciencely.ru/,https://merchantpoint.ru/brand/4354
"AZALIA,Azalia,Azalia Now,Robokassa*Azalia22new,YM *azalia22",5992,Онлайн,,AzaliaNow,"AzaliaNow — это динамично развивающийся сервис на российском рынке онлайн-продаж и доставки цветов, который нацелен на превосходство в каждой детали. Мы ежедневно создаём эффектные букеты любой сложности, удивляя наших клиентов высоким качеством и оригинальностью. Сотрудничая с крупнейшими экспортёрами растений со всего мира, мы гарантируем, что каждый цветок, используемый в наших композициях, на 100% свежий и поступает к нам ежедневно. Наши профессиональные флористы, обладающие многолетним опытом, тщательно собирают каждый букет, вкладывая в него не только мастерство, но и душу. Кроме того, AzaliaNow предлагает широкий ассортимент цветов и уникальных растений, что позволяет каждому клиенту подобрать идеальный букет, соответствующий любому вкусу и бюджету. Мы стремимся не просто удовлетворить ожидания, а создать незабываемые впечатления, превращая каждый заказ в настоящее произведение искусства.",https://azalianow.ru,https://merchantpoint.ru/brand/4324
"SP TODA PICCA,SP_TODA PICCA,TODA PICCA","5812,5814",,,Toda Pizza,"Сеть пиццерий, г. Москва",https://todapizza.ru/,https://merchantpoint.ru/brand/4325
"B1 PAMADZHIR,B1 SEVERNYY DONET,B1 STEPNAYA NEELOVKA,B1 YALYNKOVATOE,B1 ZLATOKLAS",5411,"Московская обл, г Домодедово, мкр Центральный, ул Кирова, д 17 к 1",,В1 Первый выбор,Первый выбор — Выгодный продуктовый магазин. Ведь «В1 — Первый выбор» уже подобрал для вас свежие продукты по низким ценам,https://v1.market/,https://merchantpoint.ru/brand/4326
